description,protocol,server,path,filename,format,tar,compression,username,password
UNR final GPS time series IGS08 xyz,http,geodesy.unr.edu,gps_timeseries/txyz/IGS08/,None,ascii,False,False,None,None
PBO final GPS time series IGS05 pos,ftp,data-out.unavco.org,pub/products/position/,pbo.final_igs05.pos.tar.gz,ascii,True,gzip,None,None
Blue Marble image acquired June 2,http,neo.sci.gsfc.nasa.gov,servlet/RenderData?si=526294&cs=rgb&format=TIFF&width=3600&height=1800,None,GeoTIFF,False,False,None,None
NGDC World Magnetic Anomaly Map, http,geotag.org,models/WDMAM/,None,ascii,False,zip,None,None
IERS Earth Orientation Parameters,https,datacenter.iers.org,eop/-/somos/5Rgv/latest/214,None,ascii,False,False,None,None
CALTECH list of recent EQs in Cal and Nev,http,scedc.caltech.edu,recent/Quakes/,quakes0.html,html,False,False,None,None
from Styron-Hetland paper Seismic evidence for slip on LANFs,https,github.com/,cossatot/,lanf_earthquake_likelihood,csv,False,False,None,None
SCSN earthquake catalog 1932-2016,ftp,service.scedc.caltech.edu,catalogs/SCEC_DC,SCEDC_catalogs.tar.gz,ascii,True,gzip,anonymous,<email>
Venice monthly tide gauge at lat 45.433333 long 12.333333,http,psmsl.org,data/obtaining/rlr.monthly.data/168.rlrdata,None,ascii,False,False,None,None
Significant volcanic eruption database,http,ngdc.noaa.gov,nndc/struts/results?type_0=Exact&query_0=$HAZ_EVENT_ID&t=102557&s=50&d=54&dfn=volerup.txt,volerup.txt,ascii,False,False,None,None
Nepal earthquake operations by Himalayan Disaster,https,data.humdata.org,dataset/operations-report,None,ascii,False,False,None,None
Tambora volcanic eruption in Indonesia,http,volcano.si.edu,volcano.cfm?vn=264040,None,ascii,False,False,None,None
Global Historical Tsunami Database,http,www.un-spider.org,links-and-resources/data-sources/global-historical-tsunami-database-noaa,None,ascii,False,False,None,None
National Land Cover Dataset,https,viewer.nationalmap.gov,/basic/,None,GeoTIFF,False,zip,None,None
US Coastal Land Cover Data,https,coast.noaa.gov,dataregistry/search/collection,None,GeoTIFF,False,zip,None,None
Neuse River Basin Land Cover Land Use (EPA),http,gisdata.lib.ncsu.edu,/fedgov/epa/epalulc/epalulc,None,GeoTiff,False,zip,None,None
Global Strain Rate Map Project,http,gsrm.unavco.org,/model/rotated_geodetic/,ascii,None,False,False,None,None
Global Historical Earthquake Catalogue,https,www.emidius.eu,/GEH/download/,GEM-GHEC-v1.txt,ascii,False,False,None,None
Nevada Bureau of Mines and Geology Quaternary Faults of Western US,http,data.nbmg.unr.edu,/Public/Geothermal/Data/GeologicData/,QuaternaryFaultsWesternUS.zip,.zip,True,zip,None,None
